PropertyID,TaxYear,CondoMasterId
1514413,2019,1479779
1514416,2019,1479779
1514419,2019,1479779
1514433,2019,1479779
1514435,2019,1479779
1514436,2019,1479779
1514438,2019,1479779
1514442,2019,1479779
1514443,2019,1479779
1514444,2019,1479779
1514446,2019,1479779
1514449,2019,1479779
1514450,2019,1479779
1514451,2019,1479779
1514452,2019,1479779
1514454,2019,1479779
1514455,2019,1479779
1514456,2019,1479779
1514458,2019,1479779
1514459,2019,1479779
1514463,2019,1479779
1514464,2019,1479779
1514465,2019,1479779
1514485,2019,1514480
1514487,2019,1514480
1514488,2019,1514480
1514489,2019,1514480
1514490,2019,1514480
1514491,2019,1514480
1514492,2019,1514480
1514493,2019,1514480
1514494,2019,1514480
1514495,2019,1514480
1514496,2019,1514480
1514497,2019,1514480
1514498,2019,1514480
1514499,2019,1514480
1514500,2019,1514480
1514501,2019,1514480
1514538,2019,1514535
1514541,2019,1514535
1514545,2019,1514535
1514572,2019,1440850
1514574,2019,1440850
1514575,2019,1440850
1514576,2019,1440850
1514579,2019,1440850
1514580,2019,1440850
1514589,2019,1514586
1514594,2019,1514586
1514906,2019,1514904
1514908,2019,1514904
1514925,2019,596651
1514926,2019,596651
1514930,2019,596651
1514931,2019,596651
1514932,2019,596651
1514934,2019,596651
1514935,2019,596651
1514936,2019,596651
1516857,2019,596651
1516858,2019,596651
1516859,2019,596651
1516860,2019,596651
1516861,2019,596651
1516862,2019,596651
1517148,2019,595632
1517149,2019,595632
1517150,2019,595632
1517933,2019,1517932
1517934,2019,1517932
1517935,2019,1517932
1518391,2019,1440850
1518392,2019,1440850
1518394,2019,1440850
1518396,2019,1440850
1518397,2019,1440850
1518398,2019,1440850
1518399,2019,1440850
1518400,2019,1440850
1518401,2019,1440850
1518403,2019,1440850
1518404,2019,1440850
1518406,2019,1440850
1518407,2019,1440850
1518408,2019,1440850
1518409,2019,1440850
1519595,2019,1428255
1519598,2019,1428255
1519599,2019,1428255
