ComID,PropertyID,TaxYear,BuildingNumber,UnitsPerBldg,StructureType,StructureType_Desc,IdenticalUnits,Grade,BuildingName,ClassCode,YearBuilt,YearEffective,YearRemod,PctComplete,Comments,PctCompleteFactor,ECF,CountyIndex,GradeFactor,RCN,UnAdjRCNLD,RCNLD,ElevatorUnAdjRCNLD,ElevatorECNLD,AvgSFCost,AvgPctGood,TotalIdenticalUnits,TotalRCNLD,TotCostArea
283914115,622266,2019,9,12.000000,211,"211 - Apartments, Garden (3 stories & less)",1.000000,A,Units 71-82,3527,2001.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.000000,669840.000000,509079.000000,775276.000000,0.000000,0.000000,103.590000,0.760000,1.000000,775280.000000,7484.000000
282332967,622267,2019,1,12.000000,211,"211 - Apartments, Garden (3 stories & less)",1.000000,A,Units 1-12,3527,1996.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.000000,858790.000000,601153.000000,915496.000000,0.000000,0.000000,112.220000,0.700000,1.000000,915500.000000,8158.000000
282332980,622267,2019,2,12.000000,211,"211 - Apartments, Garden (3 stories & less)",1.000000,A,Units 13-24,3527,1996.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.000000,858790.000000,601153.000000,915496.000000,0.000000,0.000000,112.220000,0.700000,1.000000,915500.000000,8158.000000
311250138,622316,2019,1,1.000000,373,"373 - Multi-purpose, Retail, single occupancy",1.000000,A,SECOND WIND SPORTS,3507,1954.000000,1990.000000,1995.000000,NULL,NULL,1.000000,1.260000,0.970000,1.000000,386880.000000,232128.000000,283707.000000,0.000000,0.000000,67.100000,0.600000,1.000000,283710.000000,4228.000000
376899502,622317,2019,1,5.000000,319,319 - Mixed Res/Com (build as com),1.000000,A,NULL,3507,1930.000000,1995.000000,2007.000000,NULL,NULL,1.000000,1.260000,0.970000,1.000000,757560.000000,515122.000000,629583.000000,0.000000,0.000000,64.060000,0.680000,1.000000,629580.000000,9828.000000
337824372,1567857,2019,1,1.000000,368,368 - Hangar,1.000000,A,NULL,3307,2017.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,470010.000000,460610.000000,562957.000000,0.000000,0.000000,51.140000,0.980000,1.000000,562960.000000,11008.000000
370629290,1567858,2019,EU7,1.000000,368,368 - Hangar,1.000000,A,NULL,3307,2018.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,431320.000000,422694.000000,516617.000000,0.000000,0.000000,62.850000,0.980000,1.000000,516620.000000,8220.000000
370630328,1567859,2019,1,1.000000,368,368 - Hangar,1.000000,A,NULL,3307,2017.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,192080.000000,188238.000000,230064.000000,0.000000,0.000000,54.780000,0.980000,1.000000,230060.000000,4200.000000
363509353,1567860,2019,1,1.000000,368,368 - Hangar,1.000000,A,NULL,3307,2017.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,192080.000000,188238.000000,230064.000000,0.000000,0.000000,54.780000,0.980000,1.000000,230060.000000,4200.000000
350905627,1567862,2019,1,1.000000,338,338 - Parking Garage/Deck,1.000000,G,Parking Garage,3150,2018.000000,NULL,NULL,50.000000,1100 parking spaces,0.500000,1.260000,0.970000,1.330000,23042920.000000,22812491.000000,13940713.000000,85140.000000,68507.000000,31.690000,0.990000,1.000000,14009220.000000,439848.000000
