PropertyID,TaxYear,LinkedProperty,LinkType,LinkTypeDesc,LinkedPropertyID
1572562,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572562,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572563,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572563,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572564,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572564,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572565,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572565,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572566,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572566,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572567,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572567,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572568,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572568,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572569,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572569,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572570,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572570,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572571,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572571,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572572,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572572,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572573,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572573,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572574,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572574,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572575,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572575,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572576,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572576,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572577,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
